I,J,K
208,3458,1885
1543,3172,2648
2648,3652,1543
3208,872,2367
1846,1770,3013
1159,1969,4374
1493,1864,2580
1175,777,4417
1461,4763,1475
569,368,570
105,4651,4945
4070,3013,1455
3013,3850,1846
4834,729,4745
2375,1930,996
1397,2707,3001
261,3890,3207
3850,1534,1906
4772,4642,4294
1397,1368,2707
5400,5900,5367
3850,3013,4070
1039,1998,1350
2802,1061,1961
3172,2661,4615
4067,1922,3160
4206,3738,946
3491,3987,5041
1493,1363,1864
22,1267,2566
2679,1038,3631
2087,3107,3637
1763,2661,3172
236,1543,2071
2214,576,1575
2791,3936,4086
1050,24,1933
311,2110,3048
4773,4585,2784
1437,2838,4617
4559,583,4560
648,386,1715
4577,4576,4575
2711,3372,1613
1942,2598,4419
1192,1039,535
2318,4693,3257
4169,4919,4212
3257,4796,5038
3111,1374,4920
2767,2397,1755
4754,3372,2711
4790,4754,3289
2711,3289,4754
979,200,3620
303,3855,1802
4028,162,231
3756,2325,3191
3449,174,2974
2943,3186,2708
1800,3791,1605
5695,2464,5996
1249,1062,303
1672,4580,4702
4799,4745,4702
2501,2729,1467
1113,3107,3106
3528,1567,3007
247,869,2273
1613,210,2956
4903,117,221
1426,3337,168
1115,270,44
2850,2171,878
262,1408,1937
3637,3107,3411
1799,2715,197
228,2708,365
3097,4592,4604
961,1066,417
612,1135,1734
4602,4603,1291
4580,2750,4702
3106,4702,1113
1017,2970,325
1801,5929,69
3133,4623,1184
204,1734,130
1405,1596,2075
4417,4416,4707
193,1901,1586
364,933,2585
3700,1544,5645
2750,4580,2608
62,2099,3934
23,183,2267
1849,1872,3518
519,2270,5693
235,1872,236
1072,4140,305
2608,3162,2750
4401,4753,26
2750,4278,4799
4469,4470,4468
606,3349,657
2017,601,941
4510,4512,4541
3624,3637,3549
4553,4468,4467
4498,4499,4497
3393,900,1818
157,4470,4471
4247,665,1006
401,1337,606
3375,462,3153
826,2647,587
4554,4467,4014
2810,830,261
4498,4497,4520
3896,4473,2078
23,1567,183
87,3500,2555
1950,204,3272
829,2799,187
2269,1959,729
3549,2543,3291
357,4747,2543
4467,4468,4470
357,2551,926
86,2706,198
2548,2855,2552
3465,3539,1018
1394,2296,3268
1797,3342,769
110,1724,2949
4434,2960,4618
766,4847,2938
264,1535,2107
1731,669,3105
3268,2296,2949
2773,5019,4849
5677,5693,2270
767,2341,1387
694,3162,2147
1705,765,526
1866,80,3156
4578,2251,1669
3551,1981,1746
1528,906,4463
3544,806,1056
3873,3227,2598
4851,5606,6710
2751,3669,321
3160,494,544
3564,3763,1019
2691,429,3504
160,2651,3662
1443,2837,4027
3022,2644,3901
453,2213,1099
533,679,1738
1704,4847,766
3796,523,1030
817,1907,4093
1907,3884,3256
2872,1510,1270
4753,2269,26
3399,1215,2641
647,2598,3227
2195,675,3699
3750,1530,2376
4135,5084,1698
1996,2456,495
3485,3284,789
3349,3322,508
1721,2556,4527
2238,6888,5830
6190,3925,4046
3192,926,4895
157,4419,1957
3896,4828,1942
982,801,886
2429,2829,2422
459,3658,2949
5279,5657,3357
278,888,3574
694,1387,217
1381,2008,3317
47,5656,710
2166,1021,3757
172,839,2292
683,3588,800
2725,641,2856
3896,2483,4828
2037,218,50
4405,2597,1091
3960,3282,3360
3578,711,3140
2378,3088,2353
969,1021,2166
2448,1865,217
158,3041,1329
839,2226,3824
2047,4943,2884
2610,647,4474
4885,2483,275
418,5038,4796
2528,142,2867
1056,142,2528
1902,2924,4886
2422,4403,281
856,2844,4862
4778,2077,1465
765,4287,2081
1852,1402,4631
278,3105,669
2240,3589,2451
2760,4877,1923
4372,4368,3759
1405,353,3588
647,4307,4474
2422,2597,4403
4208,2510,1764
958,1163,1425
3101,1697,439
2555,2094,1454
3088,3367,1238
1731,1732,2099
3950,3494,3931
4753,1001,4781
3012,1161,2285
633,632,2128
1948,1716,5043
4195,4403,4631
1774,240,865
910,2038,223
2792,554,2138
3599,3866,4205
1294,4099,1707
2939,3537,2126
4378,4466,3367
4552,3065,3236
1952,1212,2872
3930,4905,6560
557,627,1515
3187,2251,3758
477,2379,2380
2229,1776,2899
2940,2022,344
823,2805,347
2434,3260,1021
3574,1907,324
2476,2988,1822
1393,1392,560
2823,3114,2619
3978,2721,3974
1388,3280,2172
1210,907,1882
761,1948,1312
1574,2624,588
2434,4995,781
1941,3142,332
1769,491,4027
1524,2617,268
2437,2486,792
3973,4429,3561
2252,633,2278
88,3505,3965
3822,2547,2579
2372,2547,3822
4125,1308,2376
4445,559,2619
886,2162,225
3104,3431,852
1233,2430,4906
1701,947,1066
